int64_field_0,allInPings,assistMePings,assists,baitPings,baronKills,basicPings,bountyLevel,champExperience,champLevel,championId,championName,championTransform,commandPings,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,dangerPings,deaths,detectorWardsPlaced,doubleKills,dragonKills,eligibleForProgression,enemyMissingPings,enemyVisionPings,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInEarlySurrender,gameEndedInSurrender,getBackPings,goldEarned,goldSpent,holdPings,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,needVisionPings,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,onMyWayPings,participantId,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,playerAugment1,playerAugment2,playerAugment3,playerAugment4,playerSubteamId,profileIcon,pushPings,puuid,quadraKills,riotIdName,riotIdTagline,role,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,subteamPlacement,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerId,summonerLevel,summonerName,teamEarlySurrendered,teamId,teamPosition,timeCCingOthers,timePlayed,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,_12AssistStreakCount,abilityUses,acesBefore15Minutes,alliedJungleMonsterKills,baronTakedowns,blastConeOppositeOpponentCount,bountyGold,buffsStolen,completeSupportQuestInTime,controlWardsPlaced,damagePerMinute,damageTakenOnTeamPercentage,dancedWithRiftHerald,deathsByEnemyChamps,dodgeSkillShotsSmallWindow,doubleAces,dragonTakedowns,effectiveHealAndShielding,elderDragonKillsWithOpposingSoul,elderDragonMultikills,enemyChampionImmobilizations,enemyJungleMonsterKills,epicMonsterKillsNearEnemyJungler,epicMonsterKillsWithin30SecondsOfSpawn,epicMonsterSteals,epicMonsterStolenWithoutSmite,firstTurretKilled,firstTurretKilledTime,flawlessAces,fullTeamTakedown,gameLength,getTakedownsInAllLanesEarlyJungleAsLaner,goldPerMinute,hadOpenNexus,immobilizeAndKillWithAlly,initialBuffCount,initialCrabCount,jungleCsBefore10Minutes,junglerTakedownsNearDamagedEpicMonster,kTurretsDestroyedBeforePlatesFall,kda,killAfterHiddenWithAlly,killedChampTookFullTeamDamageSurvived,killsNearEnemyTurret,killsOnOtherLanesEarlyJungleAsLaner,killsOnRecentlyHealedByAramPack,killsUnderOwnTurret,killsWithHelpFromEpicMonster,knockEnemyIntoTeamAndKill,landSkillShotsEarlyGame,laneMinionsFirst10Minutes,laningPhaseGoldExpAdvantage,legendaryCount,lostAnInhibitor,maxKillDeficit,mejaisFullStackInTime,moreEnemyJungleThanOpponent,multiKillOneSpell,multiTurretRiftHeraldCount,multikills,multikillsAfterAggressiveFlash,mythicItemUsed,outerTurretExecutesBefore10Minutes,outnumberedKills,outnumberedNexusKill,perfectDragonSoulsTaken,perfectGame,pickKillWithAlly,playedChampSelectPosition,poroExplosions,quickCleanse,quickFirstTurret,quickSoloKills,riftHeraldTakedowns,saveAllyFromDeath,scuttleCrabKills,skillshotsDodged,skillshotsHit,snowballsHit,soloBaronKills,soloKills,stealthWardsPlaced,survivedSingleDigitHpCount,survivedThreeImmobilizesInFight,takedownOnFirstTurret,takedowns,takedownsAfterGainingLevelAdvantage,takedownsBeforeJungleMinionSpawn,takedownsFirstXMinutes,takedownsInAlcove,takedownsInEnemyFountain,teamBaronKills,teamDamagePercentage,teamElderDragonKills,teamRiftHeraldKills,tookLargeDamageSurvived,turretPlatesTaken,turretsTakenWithRiftHerald,twentyMinionsIn3SecondsCount,twoWardsOneSweeperCount,unseenRecalls,visionScorePerMinute,wardTakedowns,wardTakedownsBefore20M,wardsGuarded,patch,Duree_game,gameCreation,ban_0_teammates,ban_1_teammates,ban_2_teammates,ban_3_teammates,ban_4_teammates,ban_0_ennemies,ban_1_ennemies,ban_2_ennemies,ban_3_ennemies,ban_4_ennemies,First_baron_teammates,Nombre_baron_kill_teammates,First_kill_champion_teammates,Nombre_kill_champion_teammates,First_kill_dragon_teammates,Nombre_kill_dragon_teammates,First_kill_inib_teammates,Nombre_kill_inib_teammates,First_kill_herald_teammates,Nombre_kill_hetald_teammates,First_kill_tower_teammates,Nombre_kill_tower_teammates,First_baron_enemies,Nombre_baron_kill_enemies,First_kill_champion_enemies,Nombre_kill_champion_enemies,First_kill_dragon_enemies,Nombre_kill_dragon_enemies,First_kill_inib_enemies,Nombre_kill_inib_enemies,First_kill_herald_enemies,Nombre_kill_hetald_enemies,First_kill_tower_enemies,Nombre_kill_tower_enemies,match_id,enemies_0,enemies_1,enemies_2,enemies_3,enemies_4,teammates_0,teammates_1,teammates_2,teammates_3,teammates_4
5860,0,0,12,0,0,0,0,12356,14,254,Vi,0,2,2,6339,12950,6339,15170,0,2,0,1,0,1,12,9,0,0,0,0,0,0,0,9786,8150,0,TOP,0,3,0,1055,6692,3071,3158,1036,0,3340,19,0,4,TOP,0,2,2,1291,0,0,4649,0,0,0,0,0,0,0,4,1,0,84200,13919,8879,0,0,0,0,0,1109,0,PGp2R9TKRwbw70hjicyxFGuOVW9qWRyozHU37Ql_O_JNBhCQFa0o2pNzOJimM1B1DPHt8V1Tm22JpQ,0,,,SOLO,0,76,0,64,7,0,3,4,5,14,FGe8-tWtmN4nPJ_l1hEqRBLXnVt51UjQhoE57QSZPn1RJEY,471,Lokat,0,100,TOP,21,1470,0,85495,14917,0,13854,0,1649,0,129,94,42,1,0,1294,997,325,1,6,1,0,15,0,1,8,1,0,147,0,0,1,0,0,0,0,0,"608,563581","0,1538460029",0,2,0,0,2,0,0,0,46,0,0,0,0,0,1,705.8297859,0,5,"1470,748485",0,"399,2471285",0,12,0,0,0,0,0,8,5,0,0,0,0,1,0,8,0,57,0,0,0,0,0,0,0,1,1,0,6692,0,0,0,0,0,11,1,0,0,0,0,0,0,0,3,0,0,0,0,8,0,4,0,16,0,0,4,0,0,1,"0,1414395643",0,2,0,2,10,5,0,0,"0,628457335",1,0,0,13.14.520.6878,1470,1690074230555,107,950,134,526,114,92,950,107,268,11,1,1,1,34,1,3,1,3,1,2,1,11,0,0,0,19,0,0,0,0,0,0,0,1,EUW1_6513591700,266,64,79,145,12,254,76,13,222,111
47,0,6,0,5,0,0,0,12308,14,24,Jax,0,7,2,109,6316,109,15415,0,5,0,0,0,1,4,6,0,0,0,0,0,0,4,7912,7000,0,TOP,0,0,2,2031,6632,1055,3047,3067,3133,3340,18,0,1,TOP,0,0,1,705,40004,5411,3312,0,0,0,1,0,0,0,8,1,0,59148,8150,16410,0,0,0,0,0,1211,0,TIPtgu1gRQ2DbjVn2k0my2bExa_zJYcDLa21I9G40ySrAzeaB9kh45XnSYGG6GbjioWQYNzuzgzd2A,0,,,SOLO,0,37,86,56,6,0,4,4,4,12,tS9OlCxc9Ip9I8T0O12Nqzfa4P5JESMP16RBCpBHeX4qh7JALwbxYBXWjQ,140,play tank doggie,0,100,TOP,12,1628,0,105358,13561,0,23411,0,5721,0,156,102,108,1,0,6205,0,3688,0,0,10,0,15,0,1,6,0,0,185,0,0,0,0,0,0,0,0,"499,7735502","0,2000744474",0,5,4,0,0,0,0,0,17,0,0,0,0,0,0,Pas de valeurs,0,0,"1628,144105",0,"291,5883911",0,0,0,0,0,0,0,"0,2",0,0,0,0,0,1,0,0,0,65,0,0,0,0,0,0,0,0,0,0,6632,0,0,0,0,0,0,1,0,0,0,0,1,0,0,24,0,0,0,1,7,1,2,0,1,0,0,0,0,0,1,"0,2673028125",0,1,0,0,5,7,0,0,"0,5809358051",1,1,0,13.14.520.6878,1628,1690034056766,107,38,114,7,30,77,55,145,7,427,1,1,0,15,0,0,0,0,0,1,0,2,0,0,1,23,1,4,1,2,1,1,1,10,EUW1_6512204655,86,121,163,81,22,24,113,157,498,412
78,2,5,7,0,0,0,0,12816,14,24,Jax,0,3,1,2490,2722,2490,19786,0,10,0,0,0,1,3,0,0,0,0,0,0,0,7,9031,9050,0,TOP,0,0,4,3082,3047,3157,6632,0,1054,3340,17,0,1,TOP,0,0,1,311,55117,6386,9830,0,0,0,1,0,0,0,11,1,0,60449,7170,17735,0,0,0,0,0,4312,0,B3fdMPKmhCcKXI3t-NmQ4rQDceeGuJ2YWinkYinVTmAJaFkTM1JFTfrzdlTmne-wIUZC8WDQI7iaNw,0,,,SOLO,0,50,100,87,10,0,3,4,4,12,uNIHxDynvsM4t3ocDkgd5Gtq4oOHiLjkjg009Vj0fRyfDhSRJdRx_9uVxA,698,pale cali,0,100,TOP,11,1800,0,130441,13557,0,31180,0,3200,0,167,136,300,1,0,14875,0,3615,1,1,11,0,15,0,1,9,0,0,247,0,0,0,0,0,0,0,0,"451,8560377","0,2216618902",0,10,3,0,1,0,0,0,12,0,0,0,0,0,0,Pas de valeurs,0,1,"1800,207415",0,"301,0143699",0,5,0,0,0,0,0,"0,8",0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,6632,0,0,0,0,0,7,1,0,0,0,0,0,0,0,18,0,0,0,0,9,0,2,0,8,0,0,3,0,0,0,"0,1272387251",0,0,0,0,0,7,0,0,"0,5228379502",1,1,0,13.14.520.6878,1800,1689982303547,498,266,30,950,7,68,950,107,112,7,0,0,0,27,0,3,0,0,0,0,0,3,1,2,1,36,1,1,1,4,1,2,1,11,EUW1_6511290525,114,76,246,360,526,24,203,69,145,12
117,0,1,0,1,0,0,0,17988,17,24,Jax,0,24,9,8370,9664,8370,31322,0,7,8,0,0,1,31,1,0,0,0,0,0,0,0,14750,15080,0,TOP,1,1,1,3047,3157,3071,0,3053,6632,3340,33,1,4,TOP,0,3,1,536,75248,8965,6923,0,0,0,1,0,0,0,19,6,0,115451,12088,23523,0,0,0,0,0,5585,0,q8XvjxZNpN5eEIgwNATx5pbzVePI0PfctObKqR-KDP3GDeXZWNpb0lcY5hCuiOlzNYwqrhnzgM31mA,0,,,SOLO,0,66,150,77,9,0,2,4,5,12,Jp9-5WuNujkQI3LAYYVcMrmfXx8uNOVp9L_agZMLL7LnqPo,959,Nillee,0,200,TOP,16,1915,0,191336,21135,0,33866,0,6967,0,265,162,192,1,0,636,81,3419,4,4,10,0,36,8,4,18,0,0,302,0,0,1,0,450,0,0,8,"662,0892971","0,2527964698",0,7,15,0,0,0,0,0,19,0,0,0,0,0,0,Pas de valeurs,0,0,"1915,37702",0,"462,0695728",0,2,0,0,0,0,0,"0,5714285714",0,0,2,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,6632,0,1,0,0,0,3,1,0,0,0,0,0,0,0,78,0,0,0,1,11,0,0,0,4,0,0,0,0,0,2,"0,195469061",0,0,0,1,0,12,0,0,"1,131715",4,0,0,13.14.520.6878,1915,1690046242726,119,427,498,68,18,145,107,950,30,134,0,0,0,35,0,3,1,1,1,2,1,10,1,2,1,21,1,1,0,1,0,0,0,6,EUW1_6512650519,86,234,61,110,40,24,421,166,147,235
148,0,0,5,0,0,0,0,13998,15,24,Jax,0,2,3,3914,6011,3914,13345,0,4,2,0,0,1,5,0,0,0,0,0,0,0,0,9757,8500,1,TOP,0,1,0,2031,0,6632,3047,3161,0,3340,17,0,4,TOP,0,2,1,844,30496,3961,6456,0,4,0,0,1,0,0,0,6,0,72073,7549,9990,0,0,0,0,0,5812,0,djuMNSOz7sVl_wTTZtvO3v0Gt5Zgx_ybIePWu7pNKN3cSOzKvSI93p8r2M19AlqfExB4lmEHjgeFQA,0,,,SOLO,0,42,78,38,6,0,4,4,3,12,JzB9_EVpcwzc4SYlxNiqUxDDRUHBBSwZy8Bj_ch03o7MSIbV,1344,Kyrøu,0,200,TOP,4,1399,0,102569,11511,0,19438,0,3497,0,176,80,108,1,0,0,0,2991,2,4,4,0,25,2,3,9,1,0,164,0,0,1,0,0,0,0,2,"493,5454628","0,2331823097",0,4,0,0,0,0,0,0,5,0,0,0,0,0,1,829.2097543,1,2,"1399,452076",0,"418,3548186",0,2,0,0,0,0,0,"2,25",0,0,1,0,0,1,0,0,0,64,0,0,0,0,0,0,0,0,0,0,6632,0,0,0,0,0,5,1,0,0,0,0,0,0,1,6,0,0,0,1,7,0,2,0,9,0,0,3,0,0,1,"0,2005031216",0,1,0,2,5,8,0,0,"1,073831776",3,2,1,13.14.520.6878,1399,1690024326983,246,107,133,145,119,58,157,119,-1,145,0,0,0,12,1,1,0,0,0,1,0,4,1,1,1,28,0,1,1,1,1,1,1,7,EUW1_6511875288,2,68,777,30,526,24,154,161,110,40
585,0,0,6,0,0,0,2,14984,16,24,Jax,0,3,2,2809,4478,2809,25082,0,6,0,0,0,1,4,0,0,0,0,0,0,0,0,11204,10183,0,TOP,1,1,0,3078,3111,3153,3133,1055,3067,3340,21,0,5,TOP,0,2,1,631,39548,6677,9403,0,0,1,0,1,0,0,5,6,0,88682,13131,16581,0,0,0,0,0,3466,0,K39cmjEBq1ymv2W_HxI-JJ8qsNXQ2BMiNL2eJL7l1SxkSWE_Ualgcx0swyp3yPUBoDASmxs15n2I5w,0,,,SOLO,0,38,92,50,6,0,3,4,6,14,1mHF0DkfzXVEaAQM7JhPLy62U-tSV5mnI_X2pyRXKmXRA28,101,Clayton Carmine,0,200,TOP,14,1843,0,136941,21143,0,26320,0,6197,0,186,119,226,1,0,8710,1335,336,1,4,5,0,17,0,3,8,1,0,186,0,1,0,0,0,0,0,0,"688,1125023","0,1986643048",0,6,12,0,1,0,0,0,14,0,0,0,0,0,0,Pas de valeurs,0,3,"1843,650991",0,"364,6337969",0,8,0,0,0,0,0,"1,833333333",0,0,1,0,0,0,0,0,0,66,0,0,0,4,0,0,0,0,0,0,3078,0,1,0,0,0,6,1,0,0,0,0,0,0,0,63,0,0,0,1,8,0,2,0,11,0,0,2,0,0,1,"0,1655671777",0,0,0,0,0,8,0,0,"0,5814793516",3,2,0,13.14.520.6878,1843,1690051502204,107,119,526,134,240,266,60,950,119,22,0,1,0,33,0,1,0,0,1,2,1,5,1,1,1,40,1,3,1,1,0,0,0,7,EUW1_6512829845,39,76,74,498,111,24,121,7,145,497
597,0,0,3,0,0,0,0,14628,15,24,Jax,0,0,3,5193,8362,5193,34855,0,10,0,0,0,1,0,1,0,0,0,0,0,0,0,11377,9950,0,TOP,0,0,1,3748,3084,3111,1054,3067,1028,3340,21,0,2,TOP,0,0,1,394,47925,9221,22245,0,4,0,1,0,0,0,0,6,0,98536,9004,24905,0,0,0,0,0,3366,0,_4xT3m63C0ZdXPFcOS4e9BnqfPRqTkYkjLgqmHSTTXtF18bnLG6cqbX1Hmb_eCiEpRXb1uT0tTfGGA,0,,,SOLO,0,57,111,60,9,0,4,4,4,12,tulWFEhtLXNYgjg4wpZ-vJ5MNeTLspsPmqVgQ6BlhIBygKlXU-NnjQujPg,48,Dugtrogl,0,200,TOP,17,1833,4,152496,18226,0,48054,0,2253,0,218,125,308,1,0,6035,0,903,2,2,9,0,13,0,1,9,0,0,237,0,1,0,0,150,0,0,0,"596,4628516","0,3257716294",0,10,0,0,1,0,0,0,17,0,0,0,0,0,1,801.1749647,0,0,"1833,472642",0,"372,3278516",0,3,0,0,0,0,0,"0,5",0,0,0,0,0,1,0,0,0,61,0,0,0,0,0,0,0,0,0,0,3084,0,1,0,0,0,4,1,0,0,0,0,0,0,0,5,0,0,0,0,9,0,1,0,5,0,0,0,0,0,0,"0,2192613964",0,0,0,1,0,10,0,0,"0,4434121192",1,0,0,13.14.520.6878,1833,1690029532599,203,498,30,234,68,119,91,133,121,145,1,2,1,42,0,2,1,1,1,2,0,9,0,0,0,29,1,2,0,0,0,0,1,4,EUW1_6512036343,54,107,105,18,111,24,78,112,429,412
916,0,0,3,0,0,0,0,12908,14,24,Jax,0,3,1,8368,17022,8368,24902,0,7,0,0,0,1,2,0,0,0,0,0,0,1,9,10761,10300,0,TOP,0,0,2,3157,6632,3181,1036,0,2422,3340,18,0,4,TOP,0,2,1,500,56936,9808,8297,0,0,0,0,0,0,0,2,1,0,83508,11313,21948,0,0,0,0,0,4312,0,B3fdMPKmhCcKXI3t-NmQ4rQDceeGuJ2YWinkYinVTmAJaFkTM1JFTfrzdlTmne-wIUZC8WDQI7iaNw,0,,,SOLO,0,57,95,80,8,0,4,4,2,12,uNIHxDynvsM4t3ocDkgd5Gtq4oOHiLjkjg009Vj0fRyfDhSRJdRx_9uVxA,697,pale cali,0,100,TOP,17,1602,0,149737,21122,0,31992,0,6244,0,191,109,208,1,0,9292,0,1747,2,3,9,0,16,0,0,9,0,0,240,0,0,0,0,300,0,0,0,"790,9116455","0,3014718521",0,7,4,0,0,0,0,0,21,0,0,0,0,0,0,Pas de valeurs,0,0,"1602,390043",0,"402,9513278",0,4,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,6632,0,1,0,0,0,5,1,0,0,0,0,1,0,0,21,0,0,0,2,9,0,6,0,7,0,0,3,0,0,0,"0,3636481371",0,1,0,1,0,9,0,0,"0,6008864008",0,0,1,13.14.520.6878,1602,1689965046665,498,145,85,203,7,145,203,-1,107,58,0,0,0,11,0,0,0,0,1,1,0,5,1,1,1,23,1,3,1,2,0,1,1,9,EUW1_6510565677,92,113,103,81,16,24,64,246,147,526
941,0,31,6,0,0,0,4,15270,16,24,Jax,0,40,4,5747,6784,5747,30867,0,5,2,2,0,1,9,0,0,0,0,0,0,0,0,14774,13925,0,TOP,0,0,0,3157,6609,2055,3053,6632,3111,3340,27,2,13,TOP,0,5,2,793,47431,11805,13036,0,4,0,0,1,0,0,56,6,0,84832,21379,16414,0,0,0,0,0,1162,3,nwxjWdGdCVRFFvKPxIJD2N1d6foId_jP32MJPB5RzuRngGpX0aUPNDI1kxzI2EnLoJNmeehk5ZYHqQ,0,,,SOLO,0,66,111,86,9,0,4,4,8,14,yPd_goiM1H2N5ugp6-QShapW5-LsRjN7VBVLV4uS4S0ElaGN9rq-6i3T3w,87,TSINGTAO1,0,200,TOP,21,1838,0,135869,34071,0,34797,0,13703,0,169,104,181,1,0,3605,885,5347,2,3,3,0,28,3,2,14,1,0,272,0,0,0,0,375,0,0,2,"1111,692869","0,2287932493",0,5,18,0,1,0,0,0,25,0,0,0,0,0,1,628.7250683,0,3,"1838,883427",0,"482,0593221",0,6,0,0,0,0,1,"3,8",0,0,2,1,0,0,0,0,0,68,1,0,0,1,0,0,0,0,2,0,6632,0,4,0,0,0,9,1,0,0,0,0,0,0,1,92,0,0,0,5,11,1,25,1,19,1,0,8,0,0,1,"0,2765282781",0,2,0,5,5,8,0,0,"0,9349256918",2,2,1,13.14.520.6878,1838,1690004225755,950,117,164,141,121,145,32,103,119,68,1,1,1,31,0,1,0,0,0,0,0,3,0,1,0,39,1,4,1,1,1,2,1,8,EUW1_6511557040,875,57,142,22,40,24,20,517,21,111
1099,0,2,13,0,0,0,1,17855,17,24,Jax,0,3,1,10172,15794,10172,34466,0,5,0,0,0,1,3,0,0,0,0,1,0,0,3,15171,13300,0,TOP,0,1,0,3110,6632,3157,3181,3158,0,3340,20,1,6,TOP,0,3,1,868,81208,12281,3152,0,4,0,0,1,0,0,3,6,0,110744,18636,21659,0,0,0,0,0,4312,0,B3fdMPKmhCcKXI3t-NmQ4rQDceeGuJ2YWinkYinVTmAJaFkTM1JFTfrzdlTmne-wIUZC8WDQI7iaNw,0,,,DUO,0,72,126,96,9,0,4,4,3,12,uNIHxDynvsM4t3ocDkgd5Gtq4oOHiLjkjg009Vj0fRyfDhSRJdRx_9uVxA,699,pale cali,0,200,TOP,24,1784,4,192949,30917,0,29329,0,6879,0,242,366,221,1,0,997,0,4517,3,7,3,0,16,0,1,10,1,0,303,0,1,0,0,0,0,0,0,"1039,631625","0,1994883729",0,5,4,0,0,0,0,0,27,0,0,0,0,0,1,773.7495841,0,1,"1784,346346",0,"510,1425944",0,11,0,0,0,0,1,"3,8",1,0,2,0,0,0,0,0,0,89,0,0,0,5,0,0,0,0,0,0,6632,0,1,0,0,0,10,1,0,0,0,0,1,0,0,23,0,0,0,2,9,0,13,1,19,0,0,3,0,0,0,"0,206479073",0,1,0,4,0,11,0,0,"0,5629415023",1,1,0,13.14.520.6878,1784,1690043256614,200,76,107,114,238,111,-1,421,266,145,1,1,1,46,1,1,0,0,0,0,0,3,0,0,0,55,0,2,1,2,1,1,1,11,EUW1_6512538413,875,79,950,29,497,24,203,163,30,555
